,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms"
,ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
0,30002,$940,$960,"$1,080","$1,310","$1,610"
1,30003,"$1,460","$1,500","$1,690","$2,060","$2,510"
2,30004,"$1,590","$1,630","$1,840","$2,240","$2,730"
3,30005,"$1,730","$1,770","$2,000","$2,430","$2,970"
4,30006,"$1,390","$1,430","$1,610","$1,960","$2,390"
5,30007,"$1,390","$1,430","$1,610","$1,960","$2,390"
6,30008,"$1,200","$1,220","$1,380","$1,680","$2,050"
7,30009,"$1,700","$1,740","$1,960","$2,390","$2,910"
8,30010,"$1,460","$1,500","$1,690","$2,060","$2,510"
9,30011,"$1,330","$1,360","$1,540","$1,870","$2,290"
10,30012,"$1,110","$1,130","$1,280","$1,560","$1,900"
11,30013,"$1,260","$1,290","$1,460","$1,780","$2,170"
12,30014,"$1,060","$1,080","$1,220","$1,480","$1,810"
13,30015,"$1,190","$1,210","$1,370","$1,670","$2,040"
14,30016,"$1,350","$1,380","$1,560","$1,900","$2,320"
15,30017,"$1,520","$1,550","$1,750","$2,130","$2,600"
16,30018,"$1,140","$1,170","$1,320","$1,610","$1,960"
17,30019,"$1,960","$2,000","$2,260","$2,750","$3,360"
18,30021,"$1,170","$1,200","$1,350","$1,640","$2,010"
19,30022,"$1,710","$1,750","$1,980","$2,410","$2,940"
20,30023,"$1,410","$1,440","$1,630","$1,980","$2,420"
21,30024,"$1,890","$1,930","$2,180","$2,650","$3,240"
22,30025,"$1,100","$1,120","$1,270","$1,550","$1,890"
23,30028,"$1,340","$1,370","$1,550","$1,890","$2,300"
24,30030,"$1,560","$1,590","$1,800","$2,190","$2,680"
25,30031,"$1,350","$1,380","$1,560","$1,900","$2,320"
26,30032,"$1,140","$1,170","$1,320","$1,610","$1,960"
27,30033,"$1,470","$1,510","$1,700","$2,070","$2,530"
28,30034,"$1,190","$1,210","$1,370","$1,670","$2,040"
29,30035,"$1,240","$1,270","$1,430","$1,740","$2,130"
